Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Cascade/Eastlake,325 Westlake Ave N,Seattle,WA,98109,1927,1,Substantial Alteration,Commercial/Residential,11-100,Google Street View,POINT (-122.33847399999999 47.621704)
Medium Risk,Capitol Hill,1515 Bellevue Ave,Seattle,WA,98122,1925,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.326844 47.614501)
Medium Risk,Alki/Admiral,4029 Beach Dr SW,Seattle,WA,98116,1928,1,No visible retrofit,Commercial/Residential,1-10,Field Visit,POINT (-122.409514 47.567791)
Medium Risk,Capitol Hill,401 15th Ave E,Seattle,WA,98112,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31266500000001 47.622078)
Medium Risk,Pioneer Square/Chinatown International District,306 6th Ave S,Seattle,WA,98104,1914,7,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.326363 47.599697)
Critical Risk,Wallingford,4400 Interlake Ave N,Seattle,WA,98103,1906,3,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.34068600000002 47.660149)
Medium Risk,Duwamish/SODO,2724 6th Ave S,Seattle,WA,98134,1910,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.32598799999998 47.57867300000001)
High Risk,Downtown,625 1st Ave,Seattle,WA,98104,1900,4,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.33423700000002 47.602368)
Medium Risk,Downtown,1018 1st Ave,Seattle,WA,98104,1890,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.336777 47.60526)
Medium Risk,Capitol Hill,1631 Belmont Ave,Seattle,WA,98122,1928,3,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.32448000000001 47.616195000000005)
Medium Risk,Belltown,112 Stewart St,Seattle,WA,98101,1909,8,Substantial Alteration,Commercial/Residential,101+,Photos from Previous Surveys,POINT (-122.340895 47.610642)
High Risk,Green Lake,7312 West Green Lake Dr N,Seattle,WA,98103,1927,1,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.341166 47.682324)
Critical Risk,Queen Anne,411 Boston St,Seattle,WA,98109,1922,1,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.348681 47.63824400000001)
Critical Risk,Capitol Hill,400 E Pine St,Seattle,WA,98122,1917,3,Visible retrofit,Schools,101+,Field Visit,POINT (-122.326455 47.615229)
Medium Risk,Ballard,5344 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.384423 47.667401)
Critical Risk,Greenwood/Phinney Ridge,144 NW 80th St,Seattle,WA,98117,1908,3,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,POINT (-122.35931099999999 47.686934)
High Risk,Duwamish/SODO,83 S King St,Seattle,WA,98104,1904,7,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.334839 47.598307)
Medium Risk,Univ Dist,4736 University Way NE,Seattle,WA,98105,1929,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.313088 47.664216)
High Risk,Madison Park,1642 43rd Ave E,Seattle,WA,98112,1910,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.277136 47.634607)
Critical Risk,Univ Dist,4182 E Stevens Way NE,Seattle,WA,98195,1896,4,Permitted Retrofit,Schools,101+,Permit Drawing Review,
High Risk,Duwamish/SODO,900 1st Ave S,Seattle,WA,98134,1904,4,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.334164 47.594822)
Medium Risk,Greenwood/Phinney Ridge,7503 Aurora Ave N,Seattle,WA,98103,1929,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.344568 47.68343000000001)
Medium Risk,Downtown,1319 Western Ave,Seattle,WA,98101,1900,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.339758 47.606867)
Medium Risk,First Hill,1431 Minor Ave,Seattle,WA,98101,1909,7,Permitted Retrofit,Residential,101+,Google Street View,POINT (-122.327612 47.613705)
Medium Risk,Capitol Hill,321 Broadway E,Seattle,WA,98102,1910,4,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.32091600000001 47.621675)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,3,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Queen Anne,1829 10th Ave W,Seattle,WA,98119,1928,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.370387 47.635581)
High Risk,Pioneer Square/Chinatown International District,201 S Washington St,Seattle,WA,98104,1905,2,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.331314 47.600903)
High Risk,Greenwood/Phinney Ridge,8580 Greenwood Ave N,Seattle,WA,98103,1928,1,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.355322 47.691954)
Medium Risk,Greenwood/Phinney Ridge,8408 Greenwood Ave N,Seattle,WA,98103,1927,1,Permitted Retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.355307 47.690177)
Medium Risk,Duwamish/SODO,5300 Denver Ave S,Seattle,WA,98108,1953,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.32521500000001 47.554456)
Medium Risk,Queen Anne,526 Queen Anne Ave N,Seattle,WA,98109,1923,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.356719 47.62412)
Critical Risk,Central Area/Squire Park,2306 E Cherry St,Seattle,WA,98122,1929,1,Substantial Alteration,Schools,11-100,Google Street View,POINT (-122.30250500000001 47.60801)
Medium Risk,Capitol Hill,1505 10th Ave,Seattle,WA,98122,1910,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.31945600000002 47.614222)
Medium Risk,West Seattle Junction/Genesee Hill,3225 California Ave SW,Seattle,WA,98116,1922,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.38675000000002 47.57477300000001)
High Risk,Green Lake,7364 East Green Lake Dr N,Seattle,WA,98115,1910,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.327072 47.681367)
Medium Risk,Capitol Hill,1401 12th Ave,Seattle,WA,98122,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.316822 47.613226)
High Risk,Duwamish/SODO,562 1st Ave S,Seattle,WA,98104,1909,7,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.33415 47.596644)
High Risk,Belltown,2220 Western Ave,Seattle,WA,98121,1913,2,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.346417 47.612151)
High Risk,Pioneer Square/Chinatown International District,307 3rd Ave S,Seattle,WA,98104,1906,5,Permitted Retrofit,Commercial/Office,101+,Field Visit,POINT (-122.33028099999999 47.5997)
Medium Risk,Univ Dist,4516 University Way NE,Seattle,WA,98105,1925,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31313099999998 47.661436)
Medium Risk,Montlake/Portage Bay,2305 24th Ave E,Seattle,WA,98112,1922,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.30206399999999 47.639557)
Medium Risk,Fremont,4252 Fremont Ave N,Seattle,WA,98103,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.35002499999999 47.65886)
Medium Risk,Duwamish/SODO,3913 Airport Way S,Seattle,WA,98108,1922,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.32269 47.56843)
Medium Risk,Belltown,2234 2nd Ave,Seattle,WA,98121,1924,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.345478 47.613914)
Medium Risk,Queen Anne,1530 Queen Anne Ave N,Seattle,WA,98109,1920,3,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.35698 47.633238)
Medium Risk,Cascade/Eastlake,425 Westlake Ave N,Seattle,WA,98109,1920,2,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.33846599999998 47.622954)
Medium Risk,Belltown,2420 2nd Ave,Seattle,WA,98121,1928,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.34770400000001 47.615242)
Medium Risk,Sunset Hill/Loyal Heights,5903 24th Ave NW,Seattle,WA,98107,1913,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.387595 47.671871)
Medium Risk,Cascade/Eastlake,2127 5th Ave,Seattle,WA,98121,1924,1,Permitted Retrofit,Office,11-100,Permit Drawing Review,POINT (-122.341454 47.615006)
Critical Risk,Mt. Baker/North Rainier,3013 S Mt Baker Blvd,Seattle,WA,98144,1912,4,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.29244 47.576441)
Medium Risk,Fauntleroy/Seaview,6045 California Ave SW,Seattle,WA,98136,1926,1,No visible retrofit,Commercial,1-10,Field Visit,POINT (-122.387185 47.547367)
Medium Risk,Queen Anne,405 Prospect St,Seattle,WA,98109,1930,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.34856299999998 47.628922)
Medium Risk,Downtown,103 Pike St,Seattle,WA,98101,1910,3,Substantial Alteration,Commercial/Residential,101+,Google Street View,POINT (-122.33969300000001 47.608964)
Medium Risk,Pioneer Square/Chinatown International District,322 1st Ave S,Seattle,WA,98104,1900,3,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.334134 47.59933)
Medium Risk,Pioneer Square/Chinatown International District,1001 S Jackson St,Seattle,WA,98104,1915,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.31931599999999 47.599194)
Medium Risk,Capitol Hill,914 E Harrison St,Seattle,WA,98102,1914,4,Visible retrofit,Residential,11-100,Google Street View,POINT (-122.32023099999999 47.621987)
Medium Risk,Belltown,1924 1st Ave,Seattle,WA,98101,1909,5,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.342213 47.610809)
Medium Risk,Univ Dist,4523 University Way NE,Seattle,WA,98105,1924,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.313121 47.661967)
High Risk,North Delridge,4408 Delridge Way SW,Seattle,WA,98106,1917,4,Substantial Alteration,Residential,11-100,Google Street View,POINT (-122.362975 47.55348)
Medium Risk,Ballard,2236 NW Market St,Seattle,WA,98107,1927,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386395 47.668703)
High Risk,Duwamish/SODO,303 S Jackson St,Seattle,WA,98104,1906,3,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.33016400000001 47.599207)
Medium Risk,Laurelhurst/Sand Point,7727 63rd Ave NE,Seattle,WA,98115,1929,2,Permitted Retrofit,Government,11-100,Department of Neighborhoods,POINT (-122.26165600000002 47.685708)
Medium Risk,Fauntleroy/Seaview,6056 California Ave SW,Seattle,WA,98136,1926,1,No visible retrofit,Office,1-10,Sandborn Insurance Maps,POINT (-122.387194 47.546972)
Critical Risk,Roxhill/Westwood,7740 34th Ave SW,Seattle,WA,98126,1926,2,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.375256 47.532823)
Medium Risk,First Hill,1005 Terry Ave,Seattle,WA,98104,1908,7,No visible retrofit,Residential,101+,Google Street View,POINT (-122.326346 47.609001000000006)
High Risk,Pioneer Square/Chinatown International District,313 1st Ave S,Seattle,WA,98104,1900,4,Visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.33427000000002 47.599578)
Medium Risk,Interbay,1461 Elliott Ave W,Seattle,WA,98119,1937,2,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.37506200000001 47.631776)
Medium Risk,Ballard,5425 Ballard Ave NW,Seattle,WA,98107,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.385453 47.66807)
Medium Risk,Green Lake,6423 Latona Ave NE,Seattle,WA,98115,1907,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32543499999998 47.675574)
Medium Risk,Univ Dist,4557 University Way NE,Seattle,WA,98105,1919,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.313102 47.662954)
Medium Risk,Cascade/Eastlake,308 Bell St,Seattle,WA,98121,1916,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.34434399999999 47.61502300000001)
Medium Risk,Ballard,5335 Ballard Ave NW,Seattle,WA,98107,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.38409600000001 47.66718300000001)
Medium Risk,Univ Dist,4515 University Way NE,Seattle,WA,98105,1928,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.31312 47.661984)
Medium Risk,Pioneer Square/Chinatown International District,650 S King St,Seattle,WA,98104,1920,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.325085 47.598369)
Critical Risk,Laurelhurst/Sand Point,4530 46th Ave NE,Seattle,WA,98105,1950,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.278384 47.662184)
Medium Risk,Capitol Hill,223 14th Ave E,Seattle,WA,98112,1926,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.314319 47.62062)
Medium Risk,Capitol Hill,135 Harvard Ave E,Seattle,WA,98102,1927,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32221800000002 47.619686)
Medium Risk,Laurelhurst/Sand Point,6222 NE 74th St,Seattle,WA,98115,1937,3,Substantial Alteration,Office,101+,Permit Drawing Review,POINT (-122.257821 47.683225)
High Risk,Pioneer Square/Chinatown International District,105 1st Ave S,Seattle,WA,98104,1900,4,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.334261 47.601484)
Medium Risk,Downtown,216 James St,Seattle,WA,98104,1910,7,Visible retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.33248100000002 47.602325)
High Risk,Queen Anne,25 W Highland Dr,Seattle,WA,98119,1926,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.35750600000001 47.629542)
Medium Risk,Belltown,2100 1st Ave,Seattle,WA,98121,1920,1,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34421800000001 47.611993)
Medium Risk,Cascade/Eastlake,2211 5th Ave,Seattle,WA,98121,1913,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34219199999998 47.615445)
High Risk,Queen Anne,2125 Queen Anne Ave N,Seattle,WA,98109,1929,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,POINT (-122.35693399999998 47.637965)
Critical Risk,Miller Park,728 21st Ave E,Seattle,WA,98112,1908,4,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.30480499999999 47.62603)
Medium Risk,Columbia City,6315 Rainier Ave S,Seattle,WA,98118,1921,2,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.27569800000002 47.545777)
Medium Risk,Capitol Hill,1626 13th Ave,Seattle,WA,98122,1908,3,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.315572 47.616101)
Medium Risk,Wallingford,1912 N 45th St,Seattle,WA,98103,1923,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.33443299999999 47.66138000000001)
Medium Risk,Cascade/Eastlake,1114 Howell St,Seattle,WA,98101,1930,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.330919 47.616591)
Medium Risk,Ravenna/Bryant,8000 Lake City Way NE,Seattle,WA,98115,1941,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.313033 47.686912)
Medium Risk,Ballard,2016 NW Market St,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.38290700000002 47.668694)
Medium Risk,Univ Dist,4710 University Way NE,Seattle,WA,98105,1923,7,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.313096 47.66337200000001)
High Risk,Ballard,4743 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.379942 47.663649)
Medium Risk,Capitol Hill,1100 E Pike St,Seattle,WA,98122,1912,3,Visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.31784799999998 47.614098)
Medium Risk,Greenwood/Phinney Ridge,8537 Greenwood Ave N,Seattle,WA,98103,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.35531899999998 47.691634)
Medium Risk,Capitol Hill,512 E Pike St,Seattle,WA,98122,1926,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.32478300000001 47.614089)
Medium Risk,Pioneer Square/Chinatown International District,117 S Main St,Seattle,WA,98104,1902,4,Visible retrofit,Office,101+,Field Visit,POINT (-122.33339 47.600037)
Medium Risk,Capitol Hill,611 E Pine St,Seattle,WA,98122,1916,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.323868 47.615245)
Medium Risk,Cascade/Eastlake,2230 4th Ave,Seattle,WA,98121,1922,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.34365900000002 47.615198)
Medium Risk,Downtown,1012 1st Ave,Seattle,WA,98104,1900,5,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.336654 47.605118)
High Risk,Ballard,5307 Ballard Ave NW,Seattle,WA,98107,1927,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.38336300000002 47.666604)
Medium Risk,Univ Dist,4214 Roosevelt Way NE,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31778100000001 47.65851)
High Risk,First Hill,1100 Pike St,Seattle,WA,98101,1908,3,Substantial Alteration,Public Assembly,101+,Google Street View,POINT (-122.328572 47.613637000000004)
Medium Risk,Central Area/Squire Park,1621 17th Ave,Seattle,WA,98122,1924,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31013700000001 47.616021)
Medium Risk,Licton Springs,10326 Aurora Ave N,Seattle,WA,98133,1928,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.344588 47.703376)
Medium Risk,Duwamish/SODO,2244 1st Ave S,Seattle,WA,98134,1918,1,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.33421900000002 47.582724)
High Risk,Pioneer Square/Chinatown International District,202 1st Ave S,Seattle,WA,98104,1909,3,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.33411700000002 47.600712)
Medium Risk,Downtown,1216 1st Ave,Seattle,WA,98101,1900,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.33804700000002 47.60666)
Medium Risk,Belltown,3025 1st Ave,Seattle,WA,98121,1925,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.35479200000002 47.618256)
Medium Risk,Cascade/Eastlake,1200 Stewart St,Seattle,WA,98101,1906,1,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.331629 47.617807)
Medium Risk,Univ Dist,4554 19th Ave NE,Seattle,WA,98105,1920,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.307262 47.662813)
Medium Risk,Downtown,1520 4th Ave,Seattle,WA,98101,1907,6,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.337148 47.61072)
